----------------------------------------------------
PARAMS: cols = 5	 rows = 3	 lback = 1	 mutations = 5	 popsize = 10	 generations = 1428	 error = 0.000000
 filename=experiments/0111/experiment_21/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=3, cols=5, functions=9
   popsize=10, mutgenes=5, generations=1428, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=0.819646
Generation: -1		Individual: 6	Accuracy: 0.819646	Used nodes: 3
Generation: 0       	Individual: 8	Accuracy: 0.819646	Used nodes: 3	Criteria: acc
Generation: 1       	Individual: 7	Accuracy: 0.819646	Used nodes: 3	Criteria: nodes
Generation: 2       	Individual: 4	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 3       	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 4       	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 5       	Individual: 2	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 6       	Individual: 6	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 7       	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 8       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 9       	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 10      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 11      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 12      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 13      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 14      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 15      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 16      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 17      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 18      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 19      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 20      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 21      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 22      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 23      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 24      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 25      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 26      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 27      	Individual: 9	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 28      	Individual: 1	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 29      	Individual: 7	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 30      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 31      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 32      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 33      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 34      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 35      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 36      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 37      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 38      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 39      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 40      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 41      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 42      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 43      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 44      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 45      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 46      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 47      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 48      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 49      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 50      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 51      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 52      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
