----------------------------------------------------
PARAMS: cols = 5	 rows = 3	 lback = 1	 mutations = 5	 popsize = 10	 generations = 1428	 error = 0.000000
 filename=experiments/0111/experiment_11/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=3, cols=5, functions=9
   popsize=10, mutgenes=5, generations=1428, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=0.833333
Generation: -1		Individual: 2	Accuracy: 0.833333	Used nodes: 1
Generation: 0       	Individual: 5	Accuracy: 0.833333	Used nodes: 1	Criteria: nodes
Generation: 1       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 2       	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 3       	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 4       	Individual: 6	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 5       	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 6       	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 7       	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 8       	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 9       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 10      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 11      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 12      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 13      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 14      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 15      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 16      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 17      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 18      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 19      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 20      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 21      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 22      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 23      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 24      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 25      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 26      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 27      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 28      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 29      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 30      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 31      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 32      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 33      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 34      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 35      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 36      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 37      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 38      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 39      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 40      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 41      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 42      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 43      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 44      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 45      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 46      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 47      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 48      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 49      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 50      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 51      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 52      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 53      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 54      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 55      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 56      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 57      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 58      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 59      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 60      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 61      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 62      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 63      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 64      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 65      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 66      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 67      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 68      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 69      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 70      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 71      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 72      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 73      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 74      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 75      	Individual: 2	Accuracy: 1.000000	Used nodes: 3	Criteria: acc
Generation: 76      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 77      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 78      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 79      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 80      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 81      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 82      	Individual: 9	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 83      	Individual: 7	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 84      	Individual: 1	Accuracy: 1.000000	Used nodes: 3	Criteria: acc
Generation: 85      	Individual: 5	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 86      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 87      	Individual: 8	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 88      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 89      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 90      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 91      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 92      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 93      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 94      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 95      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 96      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 97      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 98      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 99      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 100     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 101     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 102     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 103     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 104     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 105     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 106     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 107     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 108     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 109     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 110     	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 111     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 112     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 113     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 114     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 115     	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 116     	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 117     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 118     	Individual: 8	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 119     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 120     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 121     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 122     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 123     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
