----------------------------------------------------
PARAMS: cols = 5	 rows = 3	 lback = 1	 mutations = 5	 popsize = 10	 generations = 2000	 error = 0.000000
 filename=experiments/01/experiment_19/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=3, cols=5, functions=9
   popsize=10, mutgenes=5, generations=2000, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=1.000000
Generation: -1		Individual: 3	Accuracy: 1.000000	Used nodes: 1
Generation: 0       	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 1       	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 2       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 3       	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 4       	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 5       	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 6       	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 7       	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 8       	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 9       	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 10      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 11      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 12      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 13      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 14      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 15      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 16      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 17      	Individual: 9	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
