----------------------------------------------------
PARAMS: cols = 5	 rows = 1	 lback = 1	 mutations = 5	 popsize = 10	 generations = 2000	 error = 0.000000
 filename=experiments/0/experiment_10/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=1, cols=5, functions=9
   popsize=10, mutgenes=5, generations=2000, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=0.829060
Generation: -1		Individual: 2	Accuracy: 0.829060	Used nodes: 1
Generation: 0       	Individual: 8	Accuracy: 0.829060	Used nodes: 1	Criteria: nodes
Generation: 1       	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 2       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 3       	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 4       	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 5       	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 6       	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 7       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 8       	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 9       	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 10      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 11      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 12      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 13      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 14      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 15      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 16      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 17      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 18      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 19      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 20      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 21      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 22      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 23      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 24      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 25      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 26      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 27      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 28      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 29      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 30      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 31      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 32      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 33      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 34      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 35      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 36      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 37      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 38      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 39      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 40      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 41      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 42      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 43      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 44      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 45      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 46      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 47      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 48      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 49      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 50      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 51      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 52      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 53      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 54      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 55      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 56      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 57      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 58      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 59      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 60      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 61      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 62      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 63      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 64      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 65      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 66      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 67      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 68      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 69      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 70      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 71      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 72      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 73      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 74      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 75      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 76      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 77      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 78      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 79      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 80      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 81      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 82      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 83      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 84      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 85      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 86      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 87      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 88      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 89      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 90      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 91      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 92      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 93      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 94      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 95      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 96      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 97      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 98      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 99      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 100     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 101     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 102     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 103     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 104     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 105     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 106     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 107     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 108     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 109     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 110     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 111     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 112     	Individual: 7	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 113     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 114     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 115     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 116     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 117     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 118     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 119     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 120     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 121     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 122     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 123     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 124     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 125     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 126     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 127     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 128     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 129     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 130     	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 131     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 132     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 133     	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 134     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 135     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 136     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 137     	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 138     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 139     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 140     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 141     	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 142     	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 143     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 144     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 145     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 146     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 147     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 148     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 149     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 150     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
