----------------------------------------------------
PARAMS: cols = 5	 rows = 3	 lback = 1	 mutations = 5	 popsize = 10	 generations = 2000	 error = 0.000000
 filename=experiments/01/experiment_18/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=3, cols=5, functions=9
   popsize=10, mutgenes=5, generations=2000, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=1.000000
Generation: -1		Individual: 3	Accuracy: 1.000000	Used nodes: 1
Generation: 0       	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 1       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 2       	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 3       	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 4       	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 5       	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 6       	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 7       	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 8       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 9       	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 10      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 11      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 12      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 13      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 14      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 15      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 16      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 17      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 18      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 19      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 20      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 21      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 22      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 23      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 24      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 25      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 26      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 27      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 28      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 29      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 30      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 31      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 32      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 33      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 34      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 35      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 36      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 37      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 38      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 39      	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 40      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 41      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 42      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 43      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 44      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 45      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 46      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 47      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 48      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 49      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 50      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 51      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 52      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 53      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 54      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 55      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 56      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 57      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 58      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 59      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 60      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 61      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 62      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 63      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 64      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 65      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 66      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 67      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 68      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 69      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 70      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 71      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 72      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 73      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 74      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 75      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 76      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 77      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 78      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 79      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 80      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 81      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 82      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 83      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 84      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 85      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 86      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 87      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 88      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 89      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 90      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 91      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 92      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 93      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 94      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 95      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 96      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 97      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 98      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 99      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 100     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 101     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 102     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 103     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 104     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 105     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 106     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 107     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 108     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 109     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 110     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 111     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 112     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 113     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 114     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 115     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 116     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 117     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 118     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 119     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 120     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 121     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 122     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 123     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 124     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 125     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 126     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 127     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 128     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 129     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 130     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 131     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 132     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 133     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 134     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 135     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 136     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 137     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 138     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 139     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 140     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 141     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 142     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 143     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 144     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 145     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 146     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 147     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 148     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 149     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 150     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 151     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 152     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 153     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 154     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 155     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 156     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 157     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 158     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 159     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 160     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 161     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 162     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 163     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 164     	Individual: 2	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 165     	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 166     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 167     	Individual: 7	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 168     	Individual: 2	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 169     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 170     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 171     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 172     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 173     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 174     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 175     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 176     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 177     	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 178     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 179     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 180     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 181     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 182     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 183     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 184     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 185     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 186     	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 187     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 188     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 189     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 190     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 191     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 192     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 193     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 194     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 195     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 196     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 197     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 198     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 199     	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 200     	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 201     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 202     	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 203     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 204     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 205     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 206     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 207     	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 208     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 209     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 210     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 211     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
