----------------------------------------------------
PARAMS: cols = 5	 rows = 1	 lback = 1	 mutations = 5	 popsize = 10	 generations = 1428	 error = 0.000000
 filename=experiments/011/experiment_21/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=1, cols=5, functions=9
   popsize=10, mutgenes=5, generations=1428, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=0.980392
Generation: -1		Individual: 1	Accuracy: 0.980392	Used nodes: 0
Generation: 0       	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 1       	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 2       	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 3       	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 4       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 5       	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 6       	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 7       	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 8       	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 9       	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 10      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 11      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 12      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 13      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 14      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 15      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 16      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 17      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 18      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 19      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 20      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 21      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 22      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 23      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 24      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 25      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 26      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 27      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 28      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 29      	Individual: 7	Accuracy: 1.000000	Used nodes: 3	Criteria: acc
Generation: 30      	Individual: 1	Accuracy: 1.000000	Used nodes: 2	Criteria: nodes
Generation: 31      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 32      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 33      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 34      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 35      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 36      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 37      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 38      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 39      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 40      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 41      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 42      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 43      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 44      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 45      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 46      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 47      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 48      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 49      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 50      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 51      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 52      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 53      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 54      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 55      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 56      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 57      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 58      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 59      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 60      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 61      	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 62      	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 63      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 64      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 65      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 66      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 67      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 68      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 69      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 70      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 71      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 72      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 73      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 74      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 75      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 76      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 77      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 78      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 79      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 80      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 81      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 82      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 83      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 84      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 85      	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 86      	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 87      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 88      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 89      	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 90      	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 91      	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 92      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 93      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 94      	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 95      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 96      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 97      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 98      	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 99      	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 100     	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 101     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 102     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 103     	Individual: 8	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 104     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 105     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 106     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 107     	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 108     	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 109     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 110     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 111     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 112     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 113     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 114     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 115     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 116     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 117     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 118     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 119     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 120     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 121     	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 122     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 123     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 124     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 125     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 126     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 127     	Individual: 4	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 128     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 129     	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 130     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 131     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 132     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 133     	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 134     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 135     	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 136     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 137     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 138     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 139     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 140     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 141     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 142     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 143     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 144     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 145     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 146     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 147     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 148     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 149     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 150     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 151     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 152     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 153     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 154     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 155     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 156     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 157     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 158     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 159     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 160     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 161     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 162     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 163     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 164     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 165     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 166     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 167     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 168     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 169     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 170     	Individual: 5	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 171     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 172     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 173     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 174     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 175     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 176     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 177     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 178     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 179     	Individual: 1	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 180     	Individual: 9	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 181     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 182     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 183     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
