----------------------------------------------------
PARAMS: cols = 5	 rows = 3	 lback = 1	 mutations = 5	 popsize = 10	 generations = 1428	 error = 0.000000
 filename=experiments/0111/experiment_9/best_chromosome.chr
----------------------------------------------------
Training data:
   file:banknotes.txt, vectors:1372, inputs:4, outputs:1
CGP parameters:
   l-back=1, rows=3, cols=5, functions=9
   popsize=10, mutgenes=5, generations=1428, acceptable error=0.000000
   evalunused=false
Evolutionary run:
   initial fitness=0.980392
Generation: -1		Individual: 5	Accuracy: 0.980392	Used nodes: 0
Generation: 0       	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 1       	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 2       	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 3       	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 4       	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 5       	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 6       	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 7       	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 8       	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 9       	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 10      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 11      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 12      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 13      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 14      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 15      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 16      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 17      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 18      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 19      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 20      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 21      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 22      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 23      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 24      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 25      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 26      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 27      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 28      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 29      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 30      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 31      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 32      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 33      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 34      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 35      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 36      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 37      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 38      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 39      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 40      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 41      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 42      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 43      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 44      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 45      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 46      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 47      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 48      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 49      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 50      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 51      	Individual: 8	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 52      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 53      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 54      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 55      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 56      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 57      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 58      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 59      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 60      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 61      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 62      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 63      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 64      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 65      	Individual: 2	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 66      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 67      	Individual: 7	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 68      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 69      	Individual: 6	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 70      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 71      	Individual: 1	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 72      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 73      	Individual: 4	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 74      	Individual: 3	Accuracy: 0.980392	Used nodes: 0	Criteria: acc
Generation: 75      	Individual: 9	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 76      	Individual: 5	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 77      	Individual: 0	Accuracy: 0.980392	Used nodes: 0	Criteria: nodes
Generation: 78      	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 79      	Individual: 5	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 80      	Individual: 1	Accuracy: 1.000000	Used nodes: 2	Criteria: acc
Generation: 81      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 82      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 83      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 84      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 85      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 86      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 87      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 88      	Individual: 1	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 89      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 90      	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 91      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 92      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 93      	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 94      	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 95      	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 96      	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 97      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 98      	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 99      	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 100     	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 101     	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 102     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 103     	Individual: 4	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 104     	Individual: 0	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 105     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 106     	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 107     	Individual: 7	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 108     	Individual: 6	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 109     	Individual: 9	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 110     	Individual: 3	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 111     	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 112     	Individual: 2	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 113     	Individual: 5	Accuracy: 1.000000	Used nodes: 1	Criteria: nodes
Generation: 114     	Individual: 8	Accuracy: 1.000000	Used nodes: 1	Criteria: acc
Generation: 115     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 116     	Individual: 2	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 117     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 118     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 119     	Individual: 7	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 120     	Individual: 8	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 121     	Individual: 3	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
Generation: 122     	Individual: 4	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 123     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 124     	Individual: 0	Accuracy: 1.000000	Used nodes: 0	Criteria: nodes
Generation: 125     	Individual: 6	Accuracy: 1.000000	Used nodes: 0	Criteria: acc
